"Activity" "Subject" "Measurement" "Average"
"WalkingUpstairs" 18 "TimeBodyAccMeanX" 0.265401201896552
"WalkingUpstairs" 19 "TimeBodyAccMeanX" 0.242118808925
"WalkingUpstairs" 20 "TimeBodyAccMeanX" 0.252098317156863
"WalkingUpstairs" 21 "TimeBodyAccMeanX" 0.265194544680851
"WalkingUpstairs" 22 "TimeBodyAccMeanX" 0.248391534566667
"WalkingUpstairs" 23 "TimeBodyAccMeanX" 0.249995171031373
"WalkingUpstairs" 24 "TimeBodyAccMeanX" 0.269881106779661
"WalkingUpstairs" 25 "TimeBodyAccMeanX" 0.277995411384615
"WalkingUpstairs" 26 "TimeBodyAccMeanX" 0.272691394545455
"WalkingUpstairs" 27 "TimeBodyAccMeanX" 0.265770253921569
"WalkingUpstairs" 28 "TimeBodyAccMeanX" 0.262005841764706
"WalkingUpstairs" 29 "TimeBodyAccMeanX" 0.265423066877551
"WalkingUpstairs" 30 "TimeBodyAccMeanX" 0.271415642261538
"WalkingDownstairs" 1 "TimeBodyAccMeanX" 0.289188320408163
"WalkingDownstairs" 2 "TimeBodyAccMeanX" 0.27761534806383
"WalkingDownstairs" 3 "TimeBodyAccMeanX" 0.292423484693878
"WalkingDownstairs" 4 "TimeBodyAccMeanX" 0.279965329555556
"WalkingDownstairs" 5 "TimeBodyAccMeanX" 0.29354392712766
"WalkingDownstairs" 6 "TimeBodyAccMeanX" 0.277045258145833
"WalkingDownstairs" 7 "TimeBodyAccMeanX" 0.28030708
"WalkingDownstairs" 8 "TimeBodyAccMeanX" 0.283484089210526
"WalkingDownstairs" 9 "TimeBodyAccMeanX" 0.295923445
"WalkingDownstairs" 10 "TimeBodyAccMeanX" 0.290401594315789
"WalkingDownstairs" 11 "TimeBodyAccMeanX" 0.291605631956522
"WalkingDownstairs" 12 "TimeBodyAccMeanX" 0.281521097391304
"WalkingDownstairs" 13 "TimeBodyAccMeanX" 0.294907553404255
"WalkingDownstairs" 14 "TimeBodyAccMeanX" 0.293422115555556
"WalkingDownstairs" 15 "TimeBodyAccMeanX" 0.280198851190476
"WalkingDownstairs" 16 "TimeBodyAccMeanX" 0.295586802191489
"WalkingDownstairs" 17 "TimeBodyAccMeanX" 0.29391828326087
"WalkingDownstairs" 18 "TimeBodyAccMeanX" 0.288439468909091
"WalkingDownstairs" 19 "TimeBodyAccMeanX" 0.262688053871795
"WalkingDownstairs" 20 "TimeBodyAccMeanX" 0.296144421355556
"WalkingDownstairs" 21 "TimeBodyAccMeanX" 0.3014610196
"WalkingDownstairs" 22 "TimeBodyAccMeanX" 0.284458963861111
"WalkingDownstairs" 23 "TimeBodyAccMeanX" 0.289897411148148
"WalkingDownstairs" 24 "TimeBodyAccMeanX" 0.288631208909091
"WalkingDownstairs" 25 "TimeBodyAccMeanX" 0.291329666206897
"WalkingDownstairs" 26 "TimeBodyAccMeanX" 0.2792845828
"WalkingDownstairs" 27 "TimeBodyAccMeanX" 0.2975441875
"WalkingDownstairs" 28 "TimeBodyAccMeanX" 0.293642076521739
"WalkingDownstairs" 29 "TimeBodyAccMeanX" 0.293140441083333
"WalkingDownstairs" 30 "TimeBodyAccMeanX" 0.283190646967742
"Sitting" 1 "TimeBodyAccMeanX" 0.261237565425532
"Sitting" 2 "TimeBodyAccMeanX" 0.27708735173913
"Sitting" 3 "TimeBodyAccMeanX" 0.257197599134615
"Sitting" 4 "TimeBodyAccMeanX" 0.27153827992
"Sitting" 5 "TimeBodyAccMeanX" 0.273694139545455
"Sitting" 6 "TimeBodyAccMeanX" 0.276778487454545
"Sitting" 7 "TimeBodyAccMeanX" 0.284674637291667
"Sitting" 8 "TimeBodyAccMeanX" 0.267491472934783
"Sitting" 9 "TimeBodyAccMeanX" 0.24832674354
"Sitting" 10 "TimeBodyAccMeanX" 0.270612056481481
"Sitting" 11 "TimeBodyAccMeanX" 0.276590197358491
"Sitting" 12 "TimeBodyAccMeanX" 0.275007224901961
"Sitting" 13 "TimeBodyAccMeanX" 0.274328499591837
"Sitting" 14 "TimeBodyAccMeanX" 0.279990577037037
"Sitting" 15 "TimeBodyAccMeanX" 0.27290337979661
"Sitting" 16 "TimeBodyAccMeanX" 0.280768574492754
"Sitting" 17 "TimeBodyAccMeanX" 0.2773570196875
"Sitting" 18 "TimeBodyAccMeanX" 0.27727001877193
"Sitting" 19 "TimeBodyAccMeanX" 0.273830316164384
"Sitting" 20 "TimeBodyAccMeanX" 0.278045439090909
"Sitting" 21 "TimeBodyAccMeanX" 0.277539616823529
"Sitting" 22 "TimeBodyAccMeanX" 0.273583822709677
"Sitting" 23 "TimeBodyAccMeanX" 0.273351251617647
"Sitting" 24 "TimeBodyAccMeanX" 0.273475690147059
"Sitting" 25 "TimeBodyAccMeanX" 0.278541482461538
"Sitting" 26 "TimeBodyAccMeanX" 0.258243530166667
"Sitting" 27 "TimeBodyAccMeanX" 0.273941302571429
"Sitting" 28 "TimeBodyAccMeanX" 0.276977629444444
"Sitting" 29 "TimeBodyAccMeanX" 0.2771799775
"Sitting" 30 "TimeBodyAccMeanX" 0.268336081379032
"Standing" 1 "TimeBodyAccMeanX" 0.278917629056604
"Standing" 2 "TimeBodyAccMeanX" 0.277911472222222
"Standing" 3 "TimeBodyAccMeanX" 0.280046513278689
"Standing" 4 "TimeBodyAccMeanX" 0.280499745892857
"Standing" 5 "TimeBodyAccMeanX" 0.282544390892857
"Standing" 6 "TimeBodyAccMeanX" 0.280346248596491
"Standing" 7 "TimeBodyAccMeanX" 0.282723539433962
"Standing" 8 "TimeBodyAccMeanX" 0.279620986111111
"Standing" 9 "TimeBodyAccMeanX" 0.282310057333333
"Standing" 10 "TimeBodyAccMeanX" 0.276650300681818
"Standing" 11 "TimeBodyAccMeanX" 0.277715562765957
"Standing" 12 "TimeBodyAccMeanX" 0.277405834918033
"Standing" 13 "TimeBodyAccMeanX" 0.277758431052632
"Standing" 14 "TimeBodyAccMeanX" 0.280545613833333
"Standing" 15 "TimeBodyAccMeanX" 0.278915803962264
"Standing" 16 "TimeBodyAccMeanX" 0.283497402948718
"Standing" 17 "TimeBodyAccMeanX" 0.277942503333333
"Standing" 18 "TimeBodyAccMeanX" 0.278458805890411
"Standing" 19 "TimeBodyAccMeanX" 0.27817226
"Standing" 20 "TimeBodyAccMeanX" 0.278076904657534
"Standing" 21 "TimeBodyAccMeanX" 0.27695224258427
"Standing" 22 "TimeBodyAccMeanX" 0.279053861587302
"Standing" 23 "TimeBodyAccMeanX" 0.277899323235294
"Standing" 24 "TimeBodyAccMeanX" 0.280348883913043
"Standing" 25 "TimeBodyAccMeanX" 0.278013701621622
"Standing" 26 "TimeBodyAccMeanX" 0.281127035405405
"Standing" 27 "TimeBodyAccMeanX" 0.279566921625
"Standing" 28 "TimeBodyAccMeanX" 0.277795069113924
"Standing" 29 "TimeBodyAccMeanX" 0.277965065846154
"Standing" 30 "TimeBodyAccMeanX" 0.277112699152542
"Laying" 1 "TimeBodyAccMeanX" 0.22159824394
"Laying" 2 "TimeBodyAccMeanX" 0.281373403958333
"Laying" 3 "TimeBodyAccMeanX" 0.275516852741935
"Laying" 4 "TimeBodyAccMeanX" 0.263559214981481
"Laying" 5 "TimeBodyAccMeanX" 0.278334325576923
"Laying" 6 "TimeBodyAccMeanX" 0.248656520140351
"Laying" 7 "TimeBodyAccMeanX" 0.250176694038462
"Laying" 8 "TimeBodyAccMeanX" 0.261254282907407
"Laying" 9 "TimeBodyAccMeanX" 0.2591955368
"Laying" 10 "TimeBodyAccMeanX" 0.280230574137931
"Laying" 11 "TimeBodyAccMeanX" 0.280592970877193
"Laying" 12 "TimeBodyAccMeanX" 0.260113433
"Laying" 13 "TimeBodyAccMeanX" 0.276716360483871
"Laying" 14 "TimeBodyAccMeanX" 0.233275439803922
"Laying" 15 "TimeBodyAccMeanX" 0.2894756525
"Laying" 16 "TimeBodyAccMeanX" 0.274227162571429
"Laying" 17 "TimeBodyAccMeanX" 0.269780085577465
"Laying" 18 "TimeBodyAccMeanX" 0.274691576923077
"Laying" 19 "TimeBodyAccMeanX" 0.272653733493976
"Laying" 20 "TimeBodyAccMeanX" 0.239507882205882
"Laying" 21 "TimeBodyAccMeanX" 0.271325472455556
"Laying" 22 "TimeBodyAccMeanX" 0.279959721194444
"Laying" 23 "TimeBodyAccMeanX" 0.274038007986111
"Laying" 24 "TimeBodyAccMeanX" 0.272850494930556
"Laying" 25 "TimeBodyAccMeanX" 0.250791828613699
"Laying" 26 "TimeBodyAccMeanX" 0.271645864540789
"Laying" 27 "TimeBodyAccMeanX" 0.274102492432432
"Laying" 28 "TimeBodyAccMeanX" 0.2759134825
"Laying" 29 "TimeBodyAccMeanX" 0.287295196811594
"Laying" 30 "TimeBodyAccMeanX" 0.281033900571429
"Walking" 1 "TimeBodyAccMeanY" -0.0173838185273684
"Walking" 2 "TimeBodyAccMeanY" -0.0185949199145763
"Walking" 3 "TimeBodyAccMeanY" -0.0171767844203448
"Walking" 4 "TimeBodyAccMeanY" -0.0148399475341667
"Walking" 5 "TimeBodyAccMeanY" -0.0172850317482679
"Walking" 6 "TimeBodyAccMeanY" -0.0168954189082456
"Walking" 7 "TimeBodyAccMeanY" -0.018653665345614
"Walking" 8 "TimeBodyAccMeanY" -0.0186628865310417
"Walking" 9 "TimeBodyAccMeanY" -0.0180891971284423
"Walking" 10 "TimeBodyAccMeanY" -0.017022351190566
"Walking" 11 "TimeBodyAccMeanY" -0.0166475833623729
"Walking" 12 "TimeBodyAccMeanY" -0.015560927606
"Walking" 13 "TimeBodyAccMeanY" -0.0185660651947368
"Walking" 14 "TimeBodyAccMeanY" -0.0217785380966102
"Walking" 15 "TimeBodyAccMeanY" -0.0170809740090741
"Walking" 16 "TimeBodyAccMeanY" -0.0204286929452941
"Walking" 17 "TimeBodyAccMeanY" -0.0184875403339344
"Walking" 18 "TimeBodyAccMeanY" -0.0178023631866071
"Walking" 19 "TimeBodyAccMeanY" -0.0191773587903846
"Walking" 20 "TimeBodyAccMeanY" -0.021199992245098
"Walking" 21 "TimeBodyAccMeanY" -0.0181610317526923
"Walking" 22 "TimeBodyAccMeanY" -0.0167213607957174
"Walking" 23 "TimeBodyAccMeanY" -0.0183618711932203
"Walking" 24 "TimeBodyAccMeanY" -0.0225446400534483
"Walking" 25 "TimeBodyAccMeanY" -0.0186477624716216
"Walking" 26 "TimeBodyAccMeanY" -0.0154259586949153
"Walking" 27 "TimeBodyAccMeanY" -0.0166478783221912
"Walking" 28 "TimeBodyAccMeanY" -0.0156759722981481
"Walking" 29 "TimeBodyAccMeanY" -0.0162915600588679
"Walking" 30 "TimeBodyAccMeanY" -0.0175880385730769
"WalkingUpstairs" 1 "TimeBodyAccMeanY" -0.0239531492643396
"WalkingUpstairs" 2 "TimeBodyAccMeanY" -0.0214121132045833
"WalkingUpstairs" 3 "TimeBodyAccMeanY" -0.0324109410555932
"WalkingUpstairs" 4 "TimeBodyAccMeanY" -0.0319804295729615
"WalkingUpstairs" 5 "TimeBodyAccMeanY" -0.0325269755153191
"WalkingUpstairs" 6 "TimeBodyAccMeanY" -0.0272425385070588
"WalkingUpstairs" 7 "TimeBodyAccMeanY" -0.0275639005607843
"WalkingUpstairs" 8 "TimeBodyAccMeanY" -0.0282415136341463
"WalkingUpstairs" 9 "TimeBodyAccMeanY" -0.0195101099975714
"WalkingUpstairs" 10 "TimeBodyAccMeanY" -0.0143854920340426
"WalkingUpstairs" 11 "TimeBodyAccMeanY" -0.0303157822055556
"WalkingUpstairs" 12 "TimeBodyAccMeanY" -0.0263574903403846
"WalkingUpstairs" 13 "TimeBodyAccMeanY" -0.0277392253910909
"WalkingUpstairs" 14 "TimeBodyAccMeanY" -0.0204388180024074
"WalkingUpstairs" 15 "TimeBodyAccMeanY" -0.0287523860708333
"WalkingUpstairs" 16 "TimeBodyAccMeanY" -0.0143654945011765
"WalkingUpstairs" 17 "TimeBodyAccMeanY" -0.0228645614308333
"WalkingUpstairs" 18 "TimeBodyAccMeanY" -0.0222060684378914
"WalkingUpstairs" 19 "TimeBodyAccMeanY" -0.0303986615775
"WalkingUpstairs" 20 "TimeBodyAccMeanY" -0.0282258047588235
"WalkingUpstairs" 21 "TimeBodyAccMeanY" -0.0237218695148936
"WalkingUpstairs" 22 "TimeBodyAccMeanY" -0.0268622561133333
"WalkingUpstairs" 23 "TimeBodyAccMeanY" -0.0323844029237255
"WalkingUpstairs" 24 "TimeBodyAccMeanY" -0.0251979434569492
"WalkingUpstairs" 25 "TimeBodyAccMeanY" -0.0269863524264615
"WalkingUpstairs" 26 "TimeBodyAccMeanY" -0.0281633797398182
"WalkingUpstairs" 27 "TimeBodyAccMeanY" -0.0200953324078431
"WalkingUpstairs" 28 "TimeBodyAccMeanY" -0.0279443943478431
"WalkingUpstairs" 29 "TimeBodyAccMeanY" -0.0299465312326531
"WalkingUpstairs" 30 "TimeBodyAccMeanY" -0.0253311698786154
"WalkingDownstairs" 1 "TimeBodyAccMeanY" -0.00991850461020408
"WalkingDownstairs" 2 "TimeBodyAccMeanY" -0.0226614158361702
"WalkingDownstairs" 3 "TimeBodyAccMeanY" -0.0193554079328571
"WalkingDownstairs" 4 "TimeBodyAccMeanY" -0.00980200850666667
"WalkingDownstairs" 5 "TimeBodyAccMeanY" -0.00850107533191489
"WalkingDownstairs" 6 "TimeBodyAccMeanY" -0.019536840063125
"WalkingDownstairs" 7 "TimeBodyAccMeanY" -0.0166332372978723
"WalkingDownstairs" 8 "TimeBodyAccMeanY" -0.0211058674973684
"WalkingDownstairs" 9 "TimeBodyAccMeanY" -0.0203994269075476
"WalkingDownstairs" 10 "TimeBodyAccMeanY" -0.0200050770710526
"WalkingDownstairs" 11 "TimeBodyAccMeanY" -0.0178097721219565
"WalkingDownstairs" 12 "TimeBodyAccMeanY" -0.018084266865793
"WalkingDownstairs" 13 "TimeBodyAccMeanY" -0.0143723839108511
"WalkingDownstairs" 14 "TimeBodyAccMeanY" -0.0200141413657778
"WalkingDownstairs" 15 "TimeBodyAccMeanY" -0.00563047804309524
"WalkingDownstairs" 16 "TimeBodyAccMeanY" -0.0183898583787234
"WalkingDownstairs" 17 "TimeBodyAccMeanY" -0.0167359404347826
"WalkingDownstairs" 18 "TimeBodyAccMeanY" -0.0168666920221818
"WalkingDownstairs" 19 "TimeBodyAccMeanY" -0.0145942275069487
"WalkingDownstairs" 20 "TimeBodyAccMeanY" -0.00964120773155556
"WalkingDownstairs" 21 "TimeBodyAccMeanY" -0.0173195390157778
"WalkingDownstairs" 22 "TimeBodyAccMeanY" -0.0197999371686389
"WalkingDownstairs" 23 "TimeBodyAccMeanY" -0.0162111457238889
"WalkingDownstairs" 24 "TimeBodyAccMeanY" -0.0145730348310909
"WalkingDownstairs" 25 "TimeBodyAccMeanY" -0.0210170522987931
"WalkingDownstairs" 26 "TimeBodyAccMeanY" -0.01262580966778
"WalkingDownstairs" 27 "TimeBodyAccMeanY" -0.0135564467159091
"WalkingDownstairs" 28 "TimeBodyAccMeanY" -0.0220230465913043
"WalkingDownstairs" 29 "TimeBodyAccMeanY" -0.01494121505625
"WalkingDownstairs" 30 "TimeBodyAccMeanY" -0.0174383900204839
"Sitting" 1 "TimeBodyAccMeanY" -0.00130828765170213
"Sitting" 2 "TimeBodyAccMeanY" -0.0156879937282609
"Sitting" 3 "TimeBodyAccMeanY" -0.00350299841730769
"Sitting" 4 "TimeBodyAccMeanY" -0.007163065158
"Sitting" 5 "TimeBodyAccMeanY" -0.00990083527045455
"Sitting" 6 "TimeBodyAccMeanY" -0.0145911615290909
"Sitting" 7 "TimeBodyAccMeanY" -0.01461097580375
"Sitting" 8 "TimeBodyAccMeanY" -0.00672550621304348
"Sitting" 9 "TimeBodyAccMeanY" -0.02701677698
"Sitting" 10 "TimeBodyAccMeanY" -0.015042681852037
"Sitting" 11 "TimeBodyAccMeanY" -0.0149195616754717
"Sitting" 12 "TimeBodyAccMeanY" -0.0157892988523529
"Sitting" 13 "TimeBodyAccMeanY" -0.00587732936326531
"Sitting" 14 "TimeBodyAccMeanY" -0.00870565463888889
"Sitting" 15 "TimeBodyAccMeanY" -0.0117188472271186
"Sitting" 16 "TimeBodyAccMeanY" -0.0102497939956522
"Sitting" 17 "TimeBodyAccMeanY" -0.014156274084375
"Sitting" 18 "TimeBodyAccMeanY" -0.0128691279736842
"Sitting" 19 "TimeBodyAccMeanY" -0.016739260030137
"Sitting" 20 "TimeBodyAccMeanY" -0.0147229305131818
"Sitting" 21 "TimeBodyAccMeanY" -0.0144009705494118
"Sitting" 22 "TimeBodyAccMeanY" -0.0123468446419355
"Sitting" 23 "TimeBodyAccMeanY" -0.0133945015676471
"Sitting" 24 "TimeBodyAccMeanY" -0.0131255097938235
"Sitting" 25 "TimeBodyAccMeanY" -0.0147696808030769
"Sitting" 26 "TimeBodyAccMeanY" -0.00713364541358974
"Sitting" 27 "TimeBodyAccMeanY" -0.0155269799285714
"Sitting" 28 "TimeBodyAccMeanY" -0.0185404441258333
"Sitting" 29 "TimeBodyAccMeanY" -0.016630680375
"Sitting" 30 "TimeBodyAccMeanY" -0.00804731295322581
"Standing" 1 "TimeBodyAccMeanY" -0.0161375901037736
"Standing" 2 "TimeBodyAccMeanY" -0.0184208270166667
"Standing" 3 "TimeBodyAccMeanY" -0.0143376555065574
"Standing" 4 "TimeBodyAccMeanY" -0.00948911098553571
"Standing" 5 "TimeBodyAccMeanY" -0.00700418554517857
"Standing" 6 "TimeBodyAccMeanY" -0.0181236327175439
"Standing" 7 "TimeBodyAccMeanY" -0.0145740341037736
"Standing" 8 "TimeBodyAccMeanY" -0.0148113067148148
"Standing" 9 "TimeBodyAccMeanY" -0.0200454954022222
"Standing" 10 "TimeBodyAccMeanY" -0.0155418603409091
"Standing" 11 "TimeBodyAccMeanY" -0.0171990886595745
"Standing" 12 "TimeBodyAccMeanY" -0.0169002543196721
"Standing" 13 "TimeBodyAccMeanY" -0.0167891993964912
"Standing" 14 "TimeBodyAccMeanY" -0.01520781344
"Standing" 15 "TimeBodyAccMeanY" -0.0183516360396226
"Standing" 16 "TimeBodyAccMeanY" -0.0165999672935897
"Standing" 17 "TimeBodyAccMeanY" -0.0174120064169231
"Standing" 18 "TimeBodyAccMeanY" -0.0166353518150685
"Standing" 19 "TimeBodyAccMeanY" -0.0154244056945205
"Standing" 20 "TimeBodyAccMeanY" -0.0180695049161644
"Standing" 21 "TimeBodyAccMeanY" -0.0167084730205618
"Standing" 22 "TimeBodyAccMeanY" -0.0158563207496825
"Standing" 23 "TimeBodyAccMeanY" -0.0177475547867647
"Standing" 24 "TimeBodyAccMeanY" -0.0144785340348986
"Standing" 25 "TimeBodyAccMeanY" -0.0163569730274324
"Standing" 26 "TimeBodyAccMeanY" -0.0166608306652703
"Standing" 27 "TimeBodyAccMeanY" -0.016593236445
"Standing" 28 "TimeBodyAccMeanY" -0.0172635124672152
"Standing" 29 "TimeBodyAccMeanY" -0.0172605869061538
"Standing" 30 "TimeBodyAccMeanY" -0.0170163887813559
"Laying" 1 "TimeBodyAccMeanY" -0.0405139534294
"Laying" 2 "TimeBodyAccMeanY" -0.0181587397583333
"Laying" 3 "TimeBodyAccMeanY" -0.0189556785048387
"Laying" 4 "TimeBodyAccMeanY" -0.0150031841055556
"Laying" 5 "TimeBodyAccMeanY" -0.0183042123269231
"Laying" 6 "TimeBodyAccMeanY" -0.0102529170561404
"Laying" 7 "TimeBodyAccMeanY" -0.0204411516884615
"Laying" 8 "TimeBodyAccMeanY" -0.0212281733881481
"Laying" 9 "TimeBodyAccMeanY" -0.020526821662
"Laying" 10 "TimeBodyAccMeanY" -0.024294484137931
"Laying" 11 "TimeBodyAccMeanY" -0.0176598052315789
"Laying" 12 "TimeBodyAccMeanY" -0.0175203917146667
"Laying" 13 "TimeBodyAccMeanY" -0.020440454366129
"Laying" 14 "TimeBodyAccMeanY" -0.0113424652490196
"Laying" 15 "TimeBodyAccMeanY" -0.0166296542054167
"Laying" 16 "TimeBodyAccMeanY" -0.0166103510562857
"Laying" 17 "TimeBodyAccMeanY" -0.0168462006729577
"Laying" 18 "TimeBodyAccMeanY" -0.0173937684615385
"Laying" 19 "TimeBodyAccMeanY" -0.0171426864421687
"Laying" 20 "TimeBodyAccMeanY" -0.0144406281132353
"Laying" 21 "TimeBodyAccMeanY" -0.0184233048415556
"Laying" 22 "TimeBodyAccMeanY" -0.0142629864502778
"Laying" 23 "TimeBodyAccMeanY" -0.0216553835833333
"Laying" 24 "TimeBodyAccMeanY" -0.0173555210111111
"Laying" 25 "TimeBodyAccMeanY" -0.0188943663671233
"Laying" 26 "TimeBodyAccMeanY" -0.0191895728026316
"Laying" 27 "TimeBodyAccMeanY" -0.0179867611216216
"Laying" 28 "TimeBodyAccMeanY" -0.0167537858225
"Laying" 29 "TimeBodyAccMeanY" -0.0171965484202899
"Laying" 30 "TimeBodyAccMeanY" -0.0194494098614286
"Walking" 1 "TimeBodyAccMeanZ" -0.111148103547368
"Walking" 2 "TimeBodyAccMeanZ" -0.105500357966102
"Walking" 3 "TimeBodyAccMeanZ" -0.112674859827586
"Walking" 4 "TimeBodyAccMeanZ" -0.11140306485
"Walking" 5 "TimeBodyAccMeanZ" -0.107741776464286
"Walking" 6 "TimeBodyAccMeanZ" -0.110303165877193
"Walking" 7 "TimeBodyAccMeanZ" -0.110912234947368
"Walking" 8 "TimeBodyAccMeanZ" -0.107252090833333
"Walking" 9 "TimeBodyAccMeanZ" -0.110820512307692
"Walking" 10 "TimeBodyAccMeanZ" -0.109057512132075
"Walking" 11 "TimeBodyAccMeanZ" -0.106096304033898
"Walking" 12 "TimeBodyAccMeanZ" -0.10316110632
"Walking" 13 "TimeBodyAccMeanZ" -0.111431456192982
"Walking" 14 "TimeBodyAccMeanZ" -0.106756369135593
"Walking" 15 "TimeBodyAccMeanZ" -0.107621819518519
"Walking" 16 "TimeBodyAccMeanZ" -0.108804049803922
"Walking" 17 "TimeBodyAccMeanZ" -0.109792122032787
"Walking" 18 "TimeBodyAccMeanZ" -0.104218315464286
"Walking" 19 "TimeBodyAccMeanZ" -0.122736673192308
"Walking" 20 "TimeBodyAccMeanZ" -0.113539477098039
"Walking" 21 "TimeBodyAccMeanZ" -0.104319332403846
"Walking" 22 "TimeBodyAccMeanZ" -0.107112510934783
"Walking" 23 "TimeBodyAccMeanZ" -0.113382994084746
"Walking" 24 "TimeBodyAccMeanZ" -0.110595952913793
"Walking" 25 "TimeBodyAccMeanZ" -0.108737636297297
"Walking" 26 "TimeBodyAccMeanZ" -0.108927011474576
"Walking" 27 "TimeBodyAccMeanZ" -0.112822289263158
"Walking" 28 "TimeBodyAccMeanZ" -0.103714705396296
"Walking" 29 "TimeBodyAccMeanZ" -0.106632427301887
"Walking" 30 "TimeBodyAccMeanZ" -0.0986247068969231
"WalkingUpstairs" 1 "TimeBodyAccMeanZ" -0.0973020020943396
"WalkingUpstairs" 2 "TimeBodyAccMeanZ" -0.152513899520833
"WalkingUpstairs" 3 "TimeBodyAccMeanZ" -0.110064863437288
"WalkingUpstairs" 4 "TimeBodyAccMeanZ" -0.114219455519231
"WalkingUpstairs" 5 "TimeBodyAccMeanZ" -0.107471453914894
"WalkingUpstairs" 6 "TimeBodyAccMeanZ" -0.122082438784314
"WalkingUpstairs" 7 "TimeBodyAccMeanZ" -0.143769688803922
"WalkingUpstairs" 8 "TimeBodyAccMeanZ" -0.11512211995122
"WalkingUpstairs" 9 "TimeBodyAccMeanZ" -0.125219003959184
"WalkingUpstairs" 10 "TimeBodyAccMeanZ" -0.118180420834043
"WalkingUpstairs" 11 "TimeBodyAccMeanZ" -0.106797216481481
"WalkingUpstairs" 12 "TimeBodyAccMeanZ" -0.107339730115385
"WalkingUpstairs" 13 "TimeBodyAccMeanZ" -0.125767265890909
"WalkingUpstairs" 14 "TimeBodyAccMeanZ" -0.112279688983333
"WalkingUpstairs" 15 "TimeBodyAccMeanZ" -0.116952464895833
"WalkingUpstairs" 16 "TimeBodyAccMeanZ" -0.124074517745098
"WalkingUpstairs" 17 "TimeBodyAccMeanZ" -0.121290442104167
"WalkingUpstairs" 18 "TimeBodyAccMeanZ" -0.112655891327586
"WalkingUpstairs" 19 "TimeBodyAccMeanZ" -0.151054607725
"WalkingUpstairs" 20 "TimeBodyAccMeanZ" -0.121023947784314
"WalkingUpstairs" 21 "TimeBodyAccMeanZ" -0.125414265340426
"WalkingUpstairs" 22 "TimeBodyAccMeanZ" -0.117550861738095
"WalkingUpstairs" 23 "TimeBodyAccMeanZ" -0.126890616782353
"WalkingUpstairs" 24 "TimeBodyAccMeanZ" -0.114248610966102
